x,y,token,model
-1.5999957,-0.8409363,idea,Rating < 5
0.76712584,0.010601543,image,Rating < 5
2.4002702,0.48210433,gradient,Rating < 5
-2.4836764,4.911026,l,Rating < 5
-0.845807,-1.722678,analysis,Rating < 5
0.94049686,5.8260655,p,Rating < 5
0.021789696,-1.1711202,experimental,Rating < 5
-0.7434035,-0.25872326,number,Rating < 5
2.2972596,-0.61895734,information,Rating < 5
0.75885904,1.0763524,first,Rating < 5
-3.7999842,1.5035604,ad,Rating < 5
4.177048,4.0165606,state,Rating < 5
-0.5424876,0.034641724,set,Rating < 5
-2.7240303,4.14278,k,Rating < 5
-2.635358,0.21296579,given,Rating < 5
-0.24739107,-1.5775607,important,Rating < 5
-0.37588432,-0.47008064,distribution,Rating < 5
-2.1766143,-1.6720711,since,Rating < 5
-3.8258965,0.076879025,case,Rating < 5
2.3234432,-1.9398929,architecture,Rating < 5
0.4413188,-2.5654852,many,Rating < 5
-2.5895746,-0.88079315,deep,Rating < 5
2.8424194,1.0097786,table,Rating < 5
-3.7421916,-0.40177602,make,Rating < 5
0.1633364,0.68159646,class,Rating < 5
-4.3549747,0.81254554,un,Rating < 5
1.7647163,5.502171,point,Rating < 5
0.0752277,-1.2633879,related,Rating < 5
3.8199625,-0.2604133,evaluation,Rating < 5
-1.7209973,0.17063685,may,Rating < 5
0.37082207,-1.9152822,empirical,Rating < 5
-2.1326182,-0.2571289,space,Rating < 5
-2.9530761,-0.54849374,understand,Rating < 5
5.256349,0.9616331,overall,Rating < 5
-2.8925223,3.930037,n,Rating < 5
0.9671418,-1.4436517,graph,Rating < 5
-1.0757078,-1.1396348,much,Rating < 5
-1.6248006,4.2247176,pro,Rating < 5
1.1608207,-0.3180226,policy,Rating < 5
-1.8016781,-1.9589417,proposes,Rating < 5
-2.6319237,1.7619131,non,Rating < 5
-1.2901784,-1.3072463,compared,Rating < 5
-1.6305964,-0.9717887,provide,Rating < 5
0.100049146,-1.459149,comparison,Rating < 5
2.5464792,-2.062702,paper,Rating = 5
0.78763616,-1.9200312,authors,Rating = 5
6.9080176,0.22680962,data,Rating = 5
-1.0402763,-0.93103343,would,Rating = 5
3.2435322,-1.6316376,model,Rating = 5
1.541033,-1.7027755,method,Rating = 5
-1.2073244,-2.0985262,learning,Rating = 5
0.3505951,-2.2044327,proposed,Rating = 5
8.440998,1.2098562,results,Rating = 5
1.1721392,-0.76516235,also,Rating = 5
1.4034874,-1.7457734,work,Rating = 5
2.0794723,-1.1384621,training,Rating = 5
3.0009224,-1.5076162,experiments,Rating = 5
-2.1913564,-1.1510476,well,Rating = 5
-1.0119959,2.6806538,one,Rating = 5
-0.0961897,-0.97121775,different,Rating = 5
-4.1622252,-1.1618298,using,Rating = 5
1.1129395,-1.4203092,section,Rating = 5
-2.5595472,-1.4427086,used,Rating = 5
1.3696626,-2.1501594,methods,Rating = 5
-3.310326,-1.736658,based,Rating = 5
4.842308,0.5342583,performance,Rating = 5
-2.8800936,-1.5752947,approach,Rating = 5
-2.6981134,-1.9973142,seems,Rating = 5
-0.94915676,-0.58733135,could,Rating = 5
1.9835513,-1.6485436,problem,Rating = 5
3.1582935,-2.1246438,models,Rating = 5
-3.524714,-1.183085,use,Rating = 5
-0.38858026,-1.0658903,better,Rating = 5
0.42147377,-2.7221823,interesting,Rating = 5
0.729683,-1.529961,algorithm,Rating = 5
2.2616801,-2.6176279,network,Rating = 5
0.24135317,-1.3234481,however,Rating = 5
4.377256,1.5320116,general,Rating = 5
-3.115003,0.5587665,clear,Rating = 5
-3.3459625,-0.25589454,like,Rating = 5
1.2599016,3.6439247,two,Rating = 5
-3.5213072,-0.83717376,neural,Rating = 5
-3.3799837,-1.1144398,think,Rating = 5
-2.3607259,-1.0113161,see,Rating = 5
